Keyword,KassiaHomeScore,ActualSerpPosition,Top10Avg,Top3Avg,StrongestCompUrl,StrongestCompScore,BeatsTop10Avg,BeatsTop3Avg,BestByScore,RankingAboveComps,Verdict,Reason
"organizare petreceri copii București",9,N/A,8.2,8.3,"https://dizemanepe.ro/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"petreceri copii București",9,N/A,8.2,8.3,"https://www.bluparty.ro/locatii-petreceri-copii/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"animatori copii București",9,N/A,8.2,8,"https://www.clownparty.ro/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"animatori petreceri copii București",9,N/A,7.9,8,"https://zoukaevents.ro/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"mascote petreceri copii București",9,N/A,7.8,7.7,"https://www.olx.ro/servicii-afaceri-colaborari/nunti-botezuri-evenimente/bucuresti-ilfov-judet/q-mascote/",8,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"decor baloane București",9,N/A,7.7,8.3,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOor3NcEmcBB8WI5b4lP21L_HIGmY8XHGpsOkGuS8eLjzHy6erdfA",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"aranjamente baloane București",9,N/A,8,9,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOop_N-uvaDjxHJigsIHL0YPAASdNHMZRBP7B4pLHo_FjV8u34VTx",9,true,false,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"petreceri copii Ilfov",9,N/A,8.2,8,"https://www.mimakids.ro/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"animatori copii Ilfov",9,N/A,7.8,7.3,"https://www.olx.ro/bucuresti-ilfov-judet/q-animatori-copii/",8,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"decor baloane Ilfov",9,N/A,8.1,7.7,"https://www.kassia.ro/decoratiuni-baloane-majorat-bucuresti/",10,true,true,false,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"animatori petreceri copii Floreasca",9,N/A,8.1,8,"https://zoukaevents.ro/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"animatori copii Floreasca",9,N/A,8.1,8,"https://superparty.ro/animatori-copii-sector-2/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
"petreceri copii Floreasca",9,N/A,7.7,6.7,"https://www.bluparty.ro/locuri-de-joaca-bucuresti/",9,true,true,true,false,"DEDICATED_PAGE_REQUIRED","Intenția este hiper-localizată sau specifică unui serviciu (animatori/mascote/decor), unde competitorii folosesc landing page-uri dedicate."
