Keyword,KassiaHomeScore,Top10Avg,Top3Avg,StrongestComp,KassiaBeatsTop10,KassiaBeatsTop3
"organizare petreceri copii București",9,8.2,8.3,"https://dizemanepe.ro/",true,true
"petreceri copii București",9,8.2,8.3,"https://www.bluparty.ro/locatii-petreceri-copii/",true,true
"animatori copii București",9,8.2,8,"https://www.clownparty.ro/",true,true
"animatori petreceri copii București",9,7.9,8,"https://zoukaevents.ro/",true,true
"mascote petreceri copii București",9,7.8,7.7,"https://www.olx.ro/servicii-afaceri-colaborari/nunti-botezuri-evenimente/bucuresti-ilfov-judet/q-mascote/",true,true
"decor baloane București",9,7.7,8.3,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOor3NcEmcBB8WI5b4lP21L_HIGmY8XHGpsOkGuS8eLjzHy6erdfA",true,true
"aranjamente baloane București",9,8,9,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOop_N-uvaDjxHJigsIHL0YPAASdNHMZRBP7B4pLHo_FjV8u34VTx",true,false
"petreceri copii Ilfov",9,8.2,8,"https://www.mimakids.ro/",true,true
"animatori copii Ilfov",9,7.8,7.3,"https://www.olx.ro/bucuresti-ilfov-judet/q-animatori-copii/",true,true
"decor baloane Ilfov",9,8.1,7.7,"https://www.kassia.ro/decoratiuni-baloane-majorat-bucuresti/",true,true
"animatori petreceri copii Floreasca",9,8.1,8,"https://zoukaevents.ro/",true,true
"animatori copii Floreasca",9,8.1,8,"https://superparty.ro/animatori-copii-sector-2/",true,true
"petreceri copii Floreasca",9,7.7,6.7,"https://www.bluparty.ro/locuri-de-joaca-bucuresti/",true,true
