keyword_cluster,service,location,existing_page,existing_url,matching_confidence,page_quality,cannibalization_risk,cannibalizing_urls,search_intent,should_improve_existing,should_create_new_page,priority,reason
"animatori petreceri copii București","animatori petreceri copii","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Sector 1","animatori petreceri copii","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Sector 2","animatori petreceri copii","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Sector 3","animatori petreceri copii","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Sector 4","animatori petreceri copii","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Sector 5","animatori petreceri copii","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Sector 6","animatori petreceri copii","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Ilfov","animatori petreceri copii","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Popești-Leordeni","animatori petreceri copii","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Voluntari","animatori petreceri copii","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Pipera","animatori petreceri copii","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Otopeni","animatori petreceri copii","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Chiajna","animatori petreceri copii","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Bragadiru","animatori petreceri copii","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Măgurele","animatori petreceri copii","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Pantelimon","animatori petreceri copii","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Berceni","animatori petreceri copii","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori petreceri copii Domnești","animatori petreceri copii","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Tunari","animatori petreceri copii","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori petreceri copii Corbeanca","animatori petreceri copii","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii București","animatori copii","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Sector 1","animatori copii","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Sector 2","animatori copii","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Sector 3","animatori copii","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Sector 4","animatori copii","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Sector 5","animatori copii","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Sector 6","animatori copii","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Ilfov","animatori copii","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Popești-Leordeni","animatori copii","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Voluntari","animatori copii","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Pipera","animatori copii","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Otopeni","animatori copii","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Chiajna","animatori copii","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Bragadiru","animatori copii","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Măgurele","animatori copii","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Pantelimon","animatori copii","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Berceni","animatori copii","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori copii Domnești","animatori copii","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Tunari","animatori copii","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori copii Corbeanca","animatori copii","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii București","mascote petreceri copii","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Sector 1","mascote petreceri copii","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Sector 2","mascote petreceri copii","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Sector 3","mascote petreceri copii","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Sector 4","mascote petreceri copii","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Sector 5","mascote petreceri copii","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Sector 6","mascote petreceri copii","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Ilfov","mascote petreceri copii","Ilfov",true,"https://www.kassia.ro/mascote-petreceri-copii-bucuresti","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"mascote petreceri copii Popești-Leordeni","mascote petreceri copii","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Voluntari","mascote petreceri copii","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Pipera","mascote petreceri copii","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Otopeni","mascote petreceri copii","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Chiajna","mascote petreceri copii","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Bragadiru","mascote petreceri copii","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Măgurele","mascote petreceri copii","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Pantelimon","mascote petreceri copii","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Berceni","mascote petreceri copii","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Domnești","mascote petreceri copii","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Tunari","mascote petreceri copii","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mascote petreceri copii Corbeanca","mascote petreceri copii","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii București","personaje petreceri copii","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Sector 1","personaje petreceri copii","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Sector 2","personaje petreceri copii","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Sector 3","personaje petreceri copii","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Sector 4","personaje petreceri copii","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Sector 5","personaje petreceri copii","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
