proposed_keyword,proposed_slug,exists_exact_in_db,exists_partial_in_db,matching_db_pages,exists_live,should_create_new,should_publish_existing_db_page,should_improve_existing_live_page,reason
"animatori petreceri copii bucurești","animatori-petreceri-copii-bucuresti",true,true,"https://www.kassia.ro/animatori-petreceri-copii-bucuresti;https://www.kassia.ro/oferta-animatori-petreceri-copii-bucuresti;https://www.kassia.ro/animatori-petrecere-5-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-9-ani-bucuresti;https://www.kassia.ro/animatori-copii-pipera-bucuresti;https://www.kassia.ro/animatori-cu-concursuri-copii-bucuresti;https://www.kassia.ro/animator-copii-1-ora-bucuresti;https://www.kassia.ro/ateliere-creative-copii-bucuresti;https://www.kassia.ro/animator-copii-2-ore-bucuresti;https://www.kassia.ro/dans-si-muzica-pentru-copii-bucuresti;https://www.kassia.ro/jocuri-muzicale-copii-bucuresti;https://www.kassia.ro/animatori-evenimente-copii-bucuresti;https://www.kassia.ro/animatori-pentru-copii-4-10-ani-bucuresti;https://www.kassia.ro/personaje-petreceri-copii-bucuresti;https://www.kassia.ro/animatori-after-school-bucuresti;https://www.kassia.ro/spectacol-magie-copii-bucuresti;https://www.kassia.ro/animatori-petrecere-copii-prescolari-bucuresti;https://www.kassia.ro/pachet-animator-si-pictura-pe-fata-bucuresti;https://www.kassia.ro/animatori-petrecere-copii-scolari-bucuresti;https://www.kassia.ro/animatori-petrecere-3-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-6-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-7-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-12-ani-bucuresti;https://www.kassia.ro/animatori-pentru-copii-mici-bucuresti;https://www.kassia.ro/animatori-family-day-bucuresti;https://www.kassia.ro/pachet-animator-si-mascota-bucuresti;https://www.kassia.ro/animatori-serbare-copii-bucuresti;https://www.kassia.ro/animatori-petrecere-copii-vara-bucuresti;https://www.kassia.ro/animatori-mot-turta-bucuresti;https://www.kassia.ro/pachet-animator-si-jocuri-copii-bucuresti;https://www.kassia.ro/animatori-zi-de-nastere-copii-bucuresti;https://www.kassia.ro/animatori-petrecere-baieti-bucuresti;https://www.kassia.ro/animatori-petrecere-tematica-copii-bucuresti;https://www.kassia.ro/animatori-petrecere-fetite-bucuresti;https://www.kassia.ro/animatori-petrecere-1-an-bucuresti;https://www.kassia.ro/animatori-petrecere-2-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-copii-iarna-bucuresti;https://www.kassia.ro/animatori-petrecere-4-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-8-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-10-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-11-ani-bucuresti;https://www.kassia.ro/animatori-petrecere-surpriza-copii-bucuresti;https://www.kassia.ro/animatori-aniversari-copii-bucuresti;https://www.kassia.ro/animatori-petrecere-copii-weekend-bucuresti;https://www.kassia.ro/animatori-copii-pantelimon-bucuresti;https://www.kassia.ro/animatori-printese-bucuresti;https://www.kassia.ro/animatori-clovni-bucuresti;https://www.kassia.ro/animatori-supereroi-bucuresti;https://www.kassia.ro/animatori-pirati-bucuresti;https://www.kassia.ro/animatori-zane-bucuresti;https://www.kassia.ro/animatori-tematica-unicorn-bucuresti;https://www.kassia.ro/animatori-tematica-jungla-bucuresti;https://www.kassia.ro/animatori-tematica-disco-bucuresti;https://www.kassia.ro/animatori-tematica-aventura-bucuresti;https://www.kassia.ro/animatori-copii-la-sala-evenimente-bucuresti;https://www.kassia.ro/animatori-tematica-dinozauri-bucuresti;https://www.kassia.ro/animatori-copii-la-restaurant-bucuresti;https://www.kassia.ro/animatori-tematica-safari-bucuresti;https://www.kassia.ro/animatori-tematica-povesti-bucuresti;https://www.kassia.ro/animatori-tematica-basm-bucuresti;https://www.kassia.ro/animatori-copii-la-curte-bucuresti;https://www.kassia.ro/animatori-copii-la-terasa-bucuresti;https://www.kassia.ro/animatori-tematica-spatiu-bucuresti;https://www.kassia.ro/animatori-tematica-circ-bucuresti;https://www.kassia.ro/animatori-tematica-curcubeu-bucuresti;https://www.kassia.ro/animatori-tematica-petrecere-baieti-bucuresti;https://www.kassia.ro/animatori-copii-acasa-bucuresti;https://www.kassia.ro/animatori-tematica-fotbal-bucuresti;https://www.kassia.ro/animatori-tematica-animale-bucuresti;https://www.kassia.ro/animatori-tematica-cavaleri-bucuresti;https://www.kassia.ro/animatori-tematica-petrecere-fete-bucuresti;https://www.kassia.ro/animatori-tematica-detectivi-bucuresti;https://www.kassia.ro/animatori-copii-in-aer-liber-bucuresti;https://www.kassia.ro/animatori-copii-la-loc-de-joaca-bucuresti;https://www.kassia.ro/animatori-copii-la-evenimente-private-bucuresti;https://www.kassia.ro/idei-petrecere-copii-bucuresti;https://www.kassia.ro/animatori-cu-mascote-petreceri-copii-bucuresti;https://www.kassia.ro/animatori-tematici-petreceri-copii-bucuresti;https://www.kassia.ro/animatori-petreceri-copii;https://www.kassia.ro/petrecere-copii-in-bucuresti-ghid",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii popești-leordeni","animatori-petreceri-copii-popesti-leordeni",true,true,"https://www.kassia.ro/animatori-petreceri-copii-popesti-leordeni",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii otopeni","animatori-petreceri-copii-otopeni",false,true,"https://www.kassia.ro/animatori-copii-otopeni",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii chiajna","animatori-petreceri-copii-chiajna",false,true,"https://www.kassia.ro/animatori-copii-chiajna",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii bragadiru","animatori-petreceri-copii-bragadiru",false,true,"https://www.kassia.ro/animatori-copii-bragadiru",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii măgurele","animatori-petreceri-copii-magurele",false,true,"https://www.kassia.ro/animatori-copii-magurele",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii pantelimon","animatori-petreceri-copii-pantelimon",false,true,"https://www.kassia.ro/animatori-copii-pantelimon-bucuresti;https://www.kassia.ro/animatori-copii-pantelimon-ilfov",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii domnești","animatori-petreceri-copii-domnesti",false,true,"https://www.kassia.ro/animatori-copii-domnesti",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii tunari","animatori-petreceri-copii-tunari",false,true,"https://www.kassia.ro/animatori-copii-tunari",true,false,false,true,"Already Live, Needs Growth"
"animatori petreceri copii corbeanca","animatori-petreceri-copii-corbeanca",false,true,"https://www.kassia.ro/animatori-copii-corbeanca",true,false,false,true,"Already Live, Needs Growth"
